id,age,topic_id,phase,period,condition,score,order_group
27,25,2,intervention,2,control,70,combined_first
27,25,3,pretest,0,pretest,70,control_first
27,25,3,intervention,1,control,70,control_first
27,25,3,intervention,2,combined,70,control_first
28,25,1,pretest,0,pretest,47,combined_first
28,25,1,intervention,1,combined,56,combined_first
28,25,1,intervention,2,control,55,combined_first
28,25,2,pretest,0,pretest,58,control_first
28,25,2,intervention,1,control,62,control_first
28,25,2,intervention,2,combined,68,control_first
28,25,3,pretest,0,pretest,43,combined_first
28,25,3,intervention,1,combined,67,combined_first
28,25,3,intervention,2,control,61,combined_first
29,20,1,pretest,0,pretest,40,combined_first
29,20,1,intervention,1,combined,40,combined_first
29,20,1,intervention,2,control,40,combined_first
29,20,2,pretest,0,pretest,40,control_first
29,20,2,intervention,1,control,40,control_first
29,20,2,intervention,2,combined,40,control_first
29,20,3,pretest,0,pretest,40,combined_first
29,20,3,intervention,1,combined,40,combined_first
29,20,3,intervention,2,control,40,combined_first
30,25,1,pretest,0,pretest,45,control_first
30,25,1,intervention,1,control,55,control_first
30,25,1,intervention,2,combined,52,control_first
30,25,2,pretest,0,pretest,54,combined_first
30,25,2,intervention,1,combined,60,combined_first
30,25,2,intervention,2,control,56,combined_first
30,25,3,pretest,0,pretest,46,control_first
30,25,3,intervention,1,control,53,control_first
30,25,3,intervention,2,combined,55,control_first
31,25,1,pretest,0,pretest,58,combined_first
31,25,1,intervention,1,combined,63,combined_first
31,25,1,intervention,2,control,63,combined_first
31,25,2,pretest,0,pretest,56,control_first
31,25,2,intervention,1,control,62,control_first
31,25,2,intervention,2,combined,62,control_first
31,25,3,pretest,0,pretest,43,combined_first
31,25,3,intervention,1,combined,58,combined_first
31,25,3,intervention,2,control,50,combined_first
32,25,1,pretest,0,pretest,42,control_first
32,25,1,intervention,1,control,43,control_first
32,25,1,intervention,2,combined,41,control_first
32,25,2,pretest,0,pretest,48,combined_first
32,25,2,intervention,1,combined,48,combined_first
32,25,2,intervention,2,control,47,combined_first
32,25,3,pretest,0,pretest,39,control_first
32,25,3,intervention,1,control,40,control_first
32,25,3,intervention,2,combined,42,control_first
33,25,1,pretest,0,pretest,40,combined_first
33,25,1,intervention,1,combined,38,combined_first
33,25,1,intervention,2,control,39,combined_first
33,25,2,pretest,0,pretest,40,control_first
33,25,2,intervention,1,control,40,control_first
33,25,2,intervention,2,combined,41,control_first
33,25,3,pretest,0,pretest,40,combined_first
33,25,3,intervention,1,combined,41,combined_first
33,25,3,intervention,2,control,43,combined_first
34,25,1,pretest,0,pretest,32,control_first
34,25,1,intervention,1,control,49,control_first
34,25,1,intervention,2,combined,53,control_first
34,25,2,pretest,0,pretest,45,combined_first
34,25,2,intervention,1,combined,62,combined_first
34,25,2,intervention,2,control,60,combined_first
34,25,3,pretest,0,pretest,50,control_first
34,25,3,intervention,1,control,56,control_first
34,25,3,intervention,2,combined,57,control_first
35,25,1,pretest,0,pretest,63,combined_first
35,25,1,intervention,1,combined,70,combined_first
35,25,1,intervention,2,control,70,combined_first
35,25,2,pretest,0,pretest,68,control_first
35,25,2,intervention,1,control,68,control_first
35,25,2,intervention,2,combined,68,control_first
35,25,3,pretest,0,pretest,65,combined_first
35,25,3,intervention,1,combined,65,combined_first
35,25,3,intervention,2,control,65,combined_first
36,28,1,pretest,0,pretest,52,control_first
36,28,1,intervention,1,control,59,control_first
36,28,1,intervention,2,combined,58,control_first
36,28,2,pretest,0,pretest,52,combined_first
36,28,2,intervention,1,combined,58,combined_first
36,28,2,intervention,2,control,59,combined_first
36,28,3,pretest,0,pretest,48,control_first
36,28,3,intervention,1,control,59,control_first
36,28,3,intervention,2,combined,59,control_first
37,27,1,pretest,0,pretest,43,combined_first
37,27,1,intervention,1,combined,51,combined_first
37,27,1,intervention,2,control,51,combined_first
37,27,2,pretest,0,pretest,55,control_first
37,27,2,intervention,1,control,60,control_first
37,27,2,intervention,2,combined,56,control_first
37,27,3,pretest,0,pretest,55,combined_first
37,27,3,intervention,1,combined,60,combined_first
37,27,3,intervention,2,control,60,combined_first
38,25,1,pretest,0,pretest,57,combined_first
38,25,1,intervention,1,combined,70,combined_first
38,25,1,intervention,2,control,65,combined_first
38,25,2,pretest,0,pretest,48,control_first
38,25,2,intervention,1,control,58,control_first
38,25,2,intervention,2,combined,70,control_first
38,25,3,pretest,0,pretest,55,combined_first
38,25,3,intervention,1,combined,70,combined_first
38,25,3,intervention,2,control,62,combined_first
39,26,1,pretest,0,pretest,52,control_first
39,26,1,intervention,1,control,66,control_first
39,26,1,intervention,2,combined,60,control_first
39,26,2,pretest,0,pretest,63,combined_first
39,26,2,intervention,1,combined,70,combined_first
39,26,2,intervention,2,control,70,combined_first
39,26,3,pretest,0,pretest,59,control_first
39,26,3,intervention,1,control,70,control_first
39,26,3,intervention,2,combined,70,control_first
40,28,1,pretest,0,pretest,53,combined_first
40,28,1,intervention,1,combined,70,combined_first
40,28,1,intervention,2,control,67,combined_first
40,28,2,pretest,0,pretest,70,control_first
40,28,2,intervention,1,control,70,control_first
40,28,2,intervention,2,combined,70,control_first
40,28,3,pretest,0,pretest,58,combined_first
40,28,3,intervention,1,combined,70,combined_first
40,28,3,intervention,2,control,70,combined_first
41,24,1,pretest,0,pretest,41,control_first
41,24,1,intervention,1,control,40,control_first
41,24,1,intervention,2,combined,40,control_first
41,24,2,pretest,0,pretest,40,combined_first
41,24,2,intervention,1,combined,40,combined_first
41,24,2,intervention,2,control,40,combined_first
41,24,3,pretest,0,pretest,40,control_first
41,24,3,intervention,1,control,40,control_first
41,24,3,intervention,2,combined,40,control_first
42,24,1,pretest,0,pretest,63,combined_first
42,24,1,intervention,1,combined,66,combined_first
42,24,1,intervention,2,control,65,combined_first
42,24,2,pretest,0,pretest,65,control_first
42,24,2,intervention,1,control,67,control_first
42,24,2,intervention,2,combined,68,control_first
42,24,3,pretest,0,pretest,56,combined_first
42,24,3,intervention,1,combined,69,combined_first
42,24,3,intervention,2,control,64,combined_first
43,25,1,pretest,0,pretest,47,control_first
43,25,1,intervention,1,control,60,control_first
43,25,1,intervention,2,combined,53,control_first
43,25,2,pretest,0,pretest,59,combined_first
43,25,2,intervention,1,combined,70,combined_first
43,25,2,intervention,2,control,62,combined_first
